Tweet,User - Location,User - Followers,Classificacao,Sentimento
"- Não vai não, a Receita Federal está atendendo só sob agendamento, a Junta Comercial só por e-mail, o seu contador está sobrecarregado de tanto seguro desemprego, declaração de imposto de renda e 80% dos clientes dele não pagaram, ele também vai ficar em casa.","Rio de Janeiro, Brasil",7089,Neutro,2
"-Jean...Tu mora ai proximo da Receita Federal de Contagem?
-Sim? O que tem isso?
-Papitu é um eldorado de muito, mas muito dificil mesmo.",,38,Neutro,2
". @mlfattorelli @ReceitaFederal @DaltonBorba @ProfessorEuler @AuditoriaCidada @PauloOpuszka13 @bancariosorocab @bancariosctba @bancarioscg @mpparana @MPMG_Oficial @mpsp_oficial @alexandre https://t.co/f5ZZaTeqir Imposto sobre grandes fortunas deve arrecadar R$ 18,7 bilhões na Argentina",Everywhere,623,Neutro,2
"...anúncio da saída do Brasil pegou até mesmo o governo de surpresa. Já que a marca havia recebido aproximadamente R$ 20 bilhões de incentivos para produzir no País desde 1999, segundo a Receita Federal...
https://t.co/pu0TQwTdJ5","Distrito Federal, Brasil",9130,Negativo,0
"...não que não conheça ou tenha aminésia, pois é obvio que sei onde morei/trabalhei e onde moro ( oficialmente ) há mais de 8 anos no mesmo endereço e cidade. É uma vergonha e incompetência, pois para 'regularização' basta o pagamento com CPF/Placa/Renavan... @ReceitaFederal",,0,Negativo,0
"“Eugênio Mattar foi o campeão da verba pública em 2020”, diz @o_antagonista acusando o irmão do ex-secretário de Desestatização @salimmattarBR. Mas q verba pública? É dinheiro dele, cobrado injustamente pela Receita Federal.","São Paulo, Brasil",663256,Negativo,0
@_Ana_2002_ @ReceitaFederal,,1204,Neutro,2
@_ihaterichkids viver com cristo eh uau? entao me ajuda a baixar o app da receita federal brother eu nao justifiquei o voto e ja passou do trmpo limite to fudido vai sujar meu nome me ajuda pelo amor de deis,@wast3lands💕,2137,Negativo,0
"@_RianMurilo @ReceitaFederal @Geopizzza Tá dando, mas não o quanto eu gostaria rsrs a moral é insistir. Valeu!",Triste nos Pampas,4884,Neutro,2
"@_RianMurilo @ReceitaFederal A única vantagem é você declarar IR através do pagamento do mei, mas é um valor que não te serve pra nada kk 

se você ganha desde 1.000 - 50.000 mensais você tem que pagar o mesmo imposto, patético",Triste nos Pampas,4884,Negativo,0
"@_RianMurilo @ReceitaFederal Sim vei. Ontem calculei o que gastei nos últimos 2 anos só de imposto de MEI só pra me torturar, porque a gente não pode fazer nada",Triste nos Pampas,4884,Neutro,2
@_RianMurilo @ReceitaFederal Tava nessa mas assinei uns contratos que precisavam de CNPJ. Problema é que as vezes voce fica meses pagando sem precisar usar,Triste nos Pampas,4884,Neutro,2
@_victorguedes Por favor doem usando #Bitcoin porque senão a @ReceitaFederal vai querer roubar...,"Rio de Janeiro, Brasil",14,Negativo,0
@_victorguedes Por favor doem usando #Bitcoin porque senão a @ReceitaFederal vai querer roubar...,"Rio de Janeiro, Brasil",19,Negativo,0
@1920por1080 desse jeito a receita federal vai bater aqui em casa ja era carol,,354,Neutro,2
@4931deRnalyD @ReceitaFederal,,1204,Neutro,2
"@4everfake @devscansados @ReceitaFederal A empresa está parada falador, só não quero ter que pagar contador pra uma empresa sem movimentação.",Juiz de Fora,108,Neutro,2
@a_c_monteiro @Fernands_Lari @DFDanielFreitas @ReceitaFederal dá uma olhadinha aqui por gentileza...,,0,Negativo,0
@a_c_monteiro @Fernands_Lari @DFDanielFreitas Alô @ReceitaFederal então seus auditores não respeitam nem uma lei básica?,Brasil,105,Negativo,0
"@AdelorSantos @BauleriCris Adelor, é só ver a renda que ele tem e confrontar com os bens, Receita Federal, e com as pensões que paga, é simples, entre no site da Câmara Federal e veja a transparência das prestações de contas. Rachadinha não é roubo? Foi ele que ensinou os filhos!!",Vinhedo,1250,Neutro,2
@adrianumendes Assim vc consegue lavar milhões bem mais rápido. Sem levantar suspeitas da receita federal.,"Ingá, Niterói",23,Negativo,0
"@aeciodepapelao @andrelelles_ Esperei 40 anos e ñ tive a profissão d analista de sistema regulamentada. Vieram novas especializações d TI, algumas já morreram, me aposentei e nada.

Mas pra cobrar IR a Receita Federal sabe q nós existimos, o código é 126. É mta ironia, bizarrice e sacanagem juntas.",Sorocaba,195,Negativo,0
"@afccontador Igual aqui em Curitiba. Abriram tudo mas pediram para não ir.
É igual o imposto de renda. A multa é uma sugestão de pagamento. Não precisa pagar pq as pessoas tem consciência.
Né @ReceitaFederal","Curitiba, Brasil",22,Neutro,2
@agenciabrasil @ReceitaFederal https://t.co/3BcJXvz7Ab,,305,Neutro,2
@agustdaechwitaa não acho q tenha sido exatamente isso não amg o pessoal nem tinha certeza na época se iam conseguir ver eles e acabou q não deu mesmo já q a receita federal mandou os meninos pra outra saída,only ami ,7970,Neutro,2
@aimcmoreira @senadorhumberto Agora a pergunta que não quer calar. Onde estava a @ReceitaFederal que não viu isso? E demais órgãos responsáveis pelas fiscalizações?,,1345,Negativo,0
@ajudesuavida @CorreiosBR Quem cobra é a @ReceitaFederal!,,29,Neutro,2
@ajudesuavida @CorreiosBR Quem cobra é a @ReceitaFederal!,,28,Neutro,2
"@Alanes_Speaks @RaquelAccioli @filohsofa @serradre @DsvTaina @tuitasophia @peramoresi @Kell_Ms_ @IndioOta @Jess_jey_ @teledramatica @teledramas @vitheeee @e_noveleira @jacquebeella @viciadoemnovela @maridacostaa Ela claramente é de mentira. Qualquer dia eu vou colocar o cpf dela na receita federal e descobri que é um velho, gay, careca e pançudo que quer me aliciar p levar p Turquia","Rio de Janeiro, Brasil",414,Negativo,0
"@AlanLopesRio E a @ReceitaFederal se glorificando com a rapidez na liberação da vacina chinesa no FB. Lamentável! Sabemos que o trabalho é a parte tributária, mas exageraram no post. Parece que estavam orgulhosos. #OswaldoPresoPolitico https://t.co/ZrkwKDJuCo","Sao Paulo, Brazil",338,Negativo,0
"@AlanLopesRio E a @ReceitaFederal se glorificando com a rapidez na liberação da vacina chinesa no FB. Lamentável! Sabemos que o trabalho é a parte tributária, mas exageraram no post. Parece que estavam orgulhosos. #OswaldoPresoPolitico https://t.co/ZrkwKDJuCo","Sao Paulo, Brazil",338,Negativo,0
@alencarqq @ReceitaFederal taxa ela,,128,Positivo,1
@alencarqq @ReceitaFederal taxa ela,,129,Positivo,1
@alencarqq @ReceitaFederal Ue kkkkkj oq é certo é certo,,128,Positivo,1
@alencarqq @ReceitaFederal Ue kkkkkj oq é certo é certo,,129,Positivo,1
@allanldsantos @ReceitaFederal @policiafederal @Rolando_AS01 @AmendoncaMJSP @AdvocaciaGeral @MPF_PGR .....vai que tem materialidade né ?? @jairbolsonaro,"São Paulo, Brasil",2902,Neutro,2
@allanldsantos @ReceitaFederal @policiafederal @Rolando_AS01 @AmendoncaMJSP @AdvocaciaGeral @MPF_PGR .....vai que tem materialidade né ?? @jairbolsonaro,"São Paulo, Brasil",2904,Neutro,2
"@allanldsantos A denúncia deveria partir da @ReceitaFederal  e do @Coaf, os fiscais da receita, foram punidos os jornalistas  presos, revistas apreendidas, sites bloqueados e o #STFVergonhaNacional  comendo lagosta e legislando, desrespeitando meu voto, não votei nesses corruptos, CPI Lava Toga",,23,Negativo,0
"@allanldsantos A denúncia deveria partir da @ReceitaFederal  e do @Coaf, os fiscais da receita, foram punidos os jornalistas  presos, revistas apreendidas, sites bloqueados e o #STFVergonhaNacional  comendo lagosta e legislando, desrespeitando meu voto, não votei nesses corruptos, CPI Lava Toga",,21,Negativo,0
"@allanldsantos A denúncia deveria partir da @ReceitaFederal  e do @Coaf, os fiscais da receita, foram punidos os jornalistas  presos, revistas apreendidas, sites bloqueados e o #STFVergonhaNacional  comendo lagosta e legislando, desrespeitando meu voto, não votei nesses corruptos, CPI Lava Toga",,21,Negativo,0
@Alvesalces @MirandaSa_ @gen_heleno @GeneralMourao @fabiofaria5555 @PauloGuedesReal @tarcisiogdf @TerezaCrisMS @Lourdesregina @eutrilheiro @padre_paulo @pejoseduardo @Biakicis @CarlaZambelli38 @paulambelmonte @jairbolsonaro @Coelho7L @FerdinandoPerre @alexandregarcia @taoquei1 @vanderleab @AndreiaSadi @caiocopolla @larimanoela Será que o Advogado do PCC mandou dar um Corretivo no Jornalista @oswaldojor ? @alexandre @policiafederal @ReceitaFederal @exercitooficial @MPF_PGR @JusticaGovBR https://t.co/1t1jq6N6pY,fortaleza. city natal cedro-ce,11041,Neutro,2
"@Ambev sonegando na cara de pau, empresa bilionária mas não perde a chance.
@ReceitaFederal da um confere","Porto Velho, Brasil",50,Neutro,2
@AmendoncaMJSP @policiafederal @PRFBrasil @ReceitaFederal @marmilbr @pmRN_5secao @policiacivilRN @AssessoriaCBMRN Fantoche!! Bobo da corte,,2,Neutro,2
@anajuliahscholz @luanemattos_ AH É @ReceitaFederal,"Canoas, Brasil",205,Neutro,2
@anajuliahscholz @luanemattos_ AH É @ReceitaFederal,"Canoas, Brasil",203,Neutro,2
@Anarco_Daoista @ReceitaFederal,,1204,Neutro,2
@anarcoadm @_Ana_2002_ @ReceitaFederal @policiafederal,,1204,Neutro,2
@anarcoadm @Anarconews2 @_Ana_2002_ @ReceitaFederal @policiafederal @DanielFragaBR @arnonco bom dia @arnonco,"São Paulo, Brasil",217,Neutro,2
@anarcoadm @Anarconews2 @_Ana_2002_ @ReceitaFederal @policiafederal @DanielFragaBR @arnonco Parabens @anarcoadm  FELIZ ANIVERSARIO!!!,"São Paulo, Brasil",217,Positivo,1
@anarcoadm @ThiagoLibertor @Anarconews2 @_Ana_2002_ @ReceitaFederal @policiafederal @DanielFragaBR Parabens @anarcoadm  FELIZ ANIVERSARIO!!!,"Belo Horizonte, Brasil",582,Positivo,1
@Anarconews2 @_Ana_2002_ @ReceitaFederal @receitafodegeral,,559,Negativo,0
@Anarconews2 @anarcoadm @_Ana_2002_ @ReceitaFederal @policiafederal @DanielFragaBR 😎,"São Paulo, Brasil",217,Neutro,2
@AnarcoNews2 @AncapSupremo @ReceitaFederal não é não,,1532,Neutro,2
"@Anarconews2 @ApenasDoge @ReceitaFederal ela vai fazer oq?
pedir pra eu declarar?", bsb,877,Neutro,2
"@Anarconews2 @ApenasDoge @ReceitaFederal ela vai fazer oq?
pedir pra eu declarar?", bsb,885,Neutro,2
@Anarconews2 @arnonco @anarcoadm @_Ana_2002_ @ReceitaFederal @policiafederal @DanielFragaBR Não 🤡,"São Paulo, Brasil",217,Neutro,2
@Anarconews2 @ReceitaFederal Explana não kkkkkkk,"Jundiaí, Brasil",294,Neutro,2
"@AnarcoNews2 @ReceitaFederal Olha só, é bem o que um perfil com ligação com a @ReceitaFederal diria😏",Brasil,5581,Positivo,1
@Anarconews2 @SpiderMenes @ReceitaFederal @policiafederal,,835,Neutro,2
@Anarconews2 @SpiderMenes @ReceitaFederal @policiafederal,,846,Neutro,2
@Anarconews2 Pergunta pra @ReceitaFederal qual é a forma que eles não conseguem cobrar kkkk,"Flores da Cunha, Brasil",614,Negativo,0
"@anarcovegana @caiognomoo @ReceitaFederal É meme, ninguém nem sabe o que é isso nunca ouvi falar","São Paulo, Brasil",66,Neutro,2
@anarcovegana @caiognomoo @ReceitaFederal existe imposto de presente em bitcoin?,"São Paulo, Brasil",66,Neutro,2
