,Tweet,Cidade,User - Followers,Classificacao,Sentimento,LSTM,UF
2356,doei dinheiro amigo receita federal fiscal doacao,21,16,Neutro,2,2,RO
2380,emissora imunda campea calote devem milhoes receita federal devem cidadaos ganharam premios programecos chulos receberam irmaos marinho apenas corruptos criminosos canalhas tbm parasitas, ,702,Negativo,0,0,RO
2270,receita federal disband receita federal lixo receita federal homofobica receita federal feiosa receita federal talento receita federal fracassada,  ,4056,Negativo,0,0,RO
2224,populacao deixar pagar imposto boicotar receita federal manda tudo pro quinto inferno pois podem perdoar dividas milionarias neymar outros sonegadores pode perdoar populacao,                              ,1918,Negativo,0,0,RO
2316,pagou deve receita federal dinheiro daria investir hospitais,                              ,1918,Neutro,2,2,RO
2910,hoje aniversario manda salve,   ?,86,Neutro,2,2,RO
2311,verdade mentira mentira pantomima patuscada mentira receita federal mentira receita federal mentira receita federal tres vezes dizendo mentira,   nova petropolis,2552,Negativo,0,0,RO
2228,receita federal odeia, .   only army,8012,Negativo,0,2,RO
844,kkkkkkkk amg sonho fazer exposed receita federal," .jsoo. (she,he,they)",8192,Neutro,2,2,Não Informado
179,parem tirar taxa c* gente sabe agentes alfandegarios inventam valores valeu deixa gente ser feliz ser taxado vcs tao vida ganha concursados," .jsoo. (she,he,they)",8192,Negativo,0,0,Não Informado
180,parem tirar taxa c* gente sabe agentes alfandegarios inventam valores deixa gente ser feliz ser taxado vcs tao vida ganha concursados," .jsoo. (she,he,they)",8192,Negativo,0,0,Não Informado
1304,parabens," bauru,estado de sao paulo ",4297,Positivo,1,1,SP
2049,flavio bolsonaro advogadas tres reunioes receita pedir dados aparelhada, brasil,294,Negativo,0,0,RO
1268,parabens, brasil,602,Positivo,1,1,RO
1614,#3 juntos podem dar golpe fatal milicias organizacoes #pcc tempos deixou ser gangue cadeia atuar organizacao crime transnacional significa trafico virou meio fim $$ poder, brasil,9828,Positivo,1,1,RO
1667,#balanco | guedes primeiro combate camadas + vulneraveis populacao ficou disposicao impedir exportacao produtos precisavamos usar ventiladores pulmonares reduzir tarifas 500 produtos medicos hospitalares, brasil,87,Positivo,1,1,RO
2024,flavio bolsonaro advogadas tres reunioes receita pedir dados aparelhada, brasil,295,Negativo,0,0,RO
54,vai fazer oq pedir declarar, bsb,885,Neutro,2,2,RO
53,vai fazer oq pedir declarar, bsb,877,Neutro,2,2,RO
1387,3o grupamento logistico presta apoio transporte materiais doados doacoes itens medicoshospitalares equipamentos eletronicos informatica #maoamiga #juntossomosmaisfortes," dias d'avila,ba ",19,Positivo,1,1,BA
953,porque garantir lagosta vinho caro excelentissimos magistrados," ela,dela",17,Negativo,0,0,Não Informado
2276,noticia ruim caixa infelizmente receita federal abriu caixa fiscalizar tirou album plastico bolha jogou dentro caixa nenhum protecao abri pacote album tava plastico bolha amassado pontas, s,1379,Negativo,0,0,RO
1896,acao fiscalizacao aconteceu ambito operacao escudo apreendidos 320 mil mercadorias saiba mais #receitafederal #aduana #operacaoescudo," sao paulo,sp ",735,Positivo,1,1,SP
1888,acao fiscalizacao aconteceu ambito operacao escudo apreendidos 320 mil mercadorias saiba mais #receitafederal #aduana #operacaoescudo," sao paulo,sp ",734,Positivo,1,1,SP
2536,acabou chegar correios mutinha receita federal 11 mil avo, uoouo,349,Negativo,0,0,RO
1252,ignorancia,",8.125622,,34.902903",1238,Neutro,2,2,Não Informado
1248,ignorancia,",8.125622,,34.902903",1234,Neutro,2,2,Não Informado
1256,ignorancia,",8.125622,,34.902903",1236,Neutro,2,2,Não Informado
2527,vao fuder tudo pq vou ta la cadeira lado segurancas pegando cpf cpf colocando site receita federal pp checar eh br aqui passa gringo,: thinking about taekookmin ,2333,Negativo,0,0,RO
153,beleza vo ir la imprimir dinheiro,@vitor.doprat,204,Neutro,2,2,RO
119,ces burro oq,@vitor.doprat,204,Negativo,0,0,RO
155,cara queria tirar todos negativados inadimplencia fazer bancos publicos comprem divida,@vitor.doprat,204,Neutro,2,2,RO
118,ces burro oq,@vitor.doprat,196,Negativo,0,0,RO
152,beleza vo ir la imprimir dinheiro,@vitor.doprat,196,Neutro,2,2,RO
154,cara queria tirar todos negativados inadimplencia fazer bancos publicos comprem divida,@vitor.doprat,196,Neutro,2,2,RO
7,viver cristo eh uau entao ajuda baixar app receita federal brother justifiquei voto ja passou trmpo limite to fudido vai sujar nome ajuda amor deis,@wast3lands,2137,Negativo,0,0,RO
1674,pf cooperacao deflagrou operacao fim tunel finalidade apurar possiveis crimes corrupcao lavagem dinheiro organizacao criminosa rio janeiro saiba mais,22 acacia avenue  hell,766,Positivo,1,1,RO
1712,medidas parte estrategia integrada atuacao contra fraudes auxilio emergencial eiafae participam pf,22 acacia avenue  hell,764,Positivo,1,1,RO
1676,pf cooperacao deflagrou operacao fim tunel finalidade apurar possiveis crimes corrupcao lavagem dinheiro organizacao criminosa rio janeiro saiba mais,22 acacia avenue  hell,764,Positivo,1,1,RO
1711,medidas parte estrategia integrada atuacao contra fraudes auxilio emergencial eiafae participam pf,22 acacia avenue  hell,766,Positivo,1,1,RO
2569,dia comecou bem sendo humilhada leve receita federal,"59,80,ela,dela",830,Negativo,0,0,Não Informado
2625,auditorfiscal receita federal delegado policia federal,a pale blue dot in space,267,Neutro,2,2,RO
2121,precisa regularizar dados cadastro pessoa fisica #cpf disponibiliza canais virtuais gratuitos servico veja receita federal,"abaetetuba,brasil",117,Positivo,1,1,Não Informado
1644,#atendimento | informa pendencias relativas cadastro pessoa fisica cpf podem ser regularizadas meio canais virtuais atendimento vem saber mais,"acopiara,brasil",1708,Positivo,1,1,Não Informado
1649,#atendimento | informa pendencias relativas cadastro pessoa fisica cpf podem ser regularizadas meio canais virtuais atendimento vem saber mais,"acopiara,brasil",1714,Positivo,1,1,Não Informado
407,questao ficou/esta tanto tempo colocalos malha fina,adenosina,703,Negativo,0,0,RO
2896,#querobolsonaroate2026,"alta floresta mt,brasil",2330,Neutro,2,2,MT
1521,#operacaoconcordia deflagrada apoio policia militar/rn policia civil/rn corpo bombeiros/rn saiba em,"alvorada,brasil",4203,Positivo,1,1,Não Informado
2289,palavra receita remete coisas tao boas receita vovo receita pao queijo delicia passa receita etc parar nome instituicao tao diabolica quanto receita federal,"amazon rainforest,brazil ",305,Negativo,0,0,Não Informado
1488,documento arrecadacao receitas federais emitido cobranca tributos contara qr code permitira pagamento meio pix neste mes empregadores domesticos devem usar pix pagar documento arrecadacao esocial,amazonas brasil,371,Positivo,1,1,RO
2932,kkkkkk,"amoedolandia, 2%,narnia ",453,Neutro,2,2,Não Informado
1829,droga carga goiabada exportada antuerpia belgica carga selecionada conferencia meio criterios objetivos analise risco incluindo inspecao intrusiva imagens escaner #acoesdareceita #aduana #rfb #santos,"analise,antartica",203,Positivo,1,1,Não Informado
1841,droga carga goiabada exportada antuerpia belgica carga selecionada conferencia meio criterios objetivos analise risco incluindo inspecao intrusiva imagens escaner #acoesdareceita #aduana #rfb #santos,"analise,antartica",201,Positivo,1,1,Não Informado
1200,ola tudo bom enorme tristeza informamos agora faz parte podemos manter individuos acham pirataria algo criminoso desejamos toda sorte nova jornada att diretoria,ancapistao,758,Neutro,2,2,RO
2832,kkakkakakakkaksks vsf mano amakakkakakaka aqui gangue careca,ancapistao,433,Neutro,2,2,RO
2833,krl mudo icon,ancapistao,433,Neutro,2,2,RO
2834,entendi,ancapistao,433,Neutro,2,2,RO
2400,sindifisco sindicato nacional auditoresfiscais receita federal propoe mude reforma tributaria sancoes penais prisao fraudar impostos apos quitacao debitos receita federal,angola,10849,Neutro,2,2,RO
2369,vai receita federal arruma la diretamente,"aparecida de goiania,brasil",39,Neutro,2,2,Não Informado
2831,finalmente achei alguem gosta fazer comeca s termina,"arabia saudita,alahu akbar ",193,Neutro,2,2,Não Informado
1060,boletos devidamente pagos libera roupa ai,"aracaju,brasil",114,Negativo,0,0,SE
2222,mano pix apareceu nome antigo conta estando joao felipe pqp constrangimento cliente veio perguntar pq apareceu nome kkkkkk odeio receita federal,"aracaju,brasil",645,Negativo,0,0,SE
2602,serio receita federal queria farmar emblema tft deitadinha favor libera celular logo ja terminei 2 series tendo q farmar tft notebook,aracatuba sp,507,Negativo,0,0,RO
2694,aproveita base araraquara veja depositaram dinheiro respiradores entregues ainda resposta,"araraquara,sp",101,Negativo,0,0,SP
2753,tanto dinheiro pq fazem site funciona pq tirar passaporte site grande merda consigo escrever nome,araruama ,1175,Negativo,0,0,RO
2474,entao pode dar voz prisao fiscal receita desacatou taxacao ilegal,"araucaria,pr",13,Negativo,0,0,PR
