Tweet,User - Location,User - Followers,Classificacao,Sentimento,Tweet_Ingles,Class_TextBlob
não vai não a receita federal está atendendo só sob agendamento a junta comercial só por email o seu contador está sobrecarregado de tanto seguro desemprego declaração de imposto de renda e 80% dos clientes dele não pagaram ele também vai ficar em casa,"Rio de Janeiro, Brasil",7089,Neutro,2,"no, no, the IRS is only taking care of by scheduling the commercial board only by email, your accountant is overloaded with so much unemployment insurance income tax return and 80% of his clients have not paid he will also stay at home",Positivo
jean tu mora ai proximo da receita federal de contagem sim o que tem isso papitu é um eldorado de muito mas muito dificil mesmo,,38,Neutro,2,jean you live there next to the counting federal revenue yes what has this papitu is an eldorado of very but very difficult,Negativo
imposto sobre grandes fortunas deve arrecadar r$ 18 7 bilhões na argentina,Everywhere,623,Neutro,2,tax on large fortunes should raise R $ 18.7 billion in Argentina,Positivo
anúncio da saída do brasil pegou até mesmo o governo de surpresa já que a marca havia recebido aproximadamente r$ 20 bilhões de incentivos para produzir no país desde 1999 segundo a receita federal,"Distrito Federal, Brasil",9130,Negativo,0,announcement of Brazil&#39;s exit even caught the government by surprise as the brand had received approximately r $ 20 billion in incentives to produce in the country since 1999 according to federal revenue,Negativo
não que não conheça ou tenha aminésia pois é obvio que sei onde morei/trabalhei e onde moro oficialmente há mais de 8 anos no mesmo endereço e cidade é uma vergonha e incompetência pois para regularização basta o pagamento com cpf/placa/renavan,,0,Negativo,0,not that I do not know or have amines because it is obvious that I know where I lived / worked and where I have officially lived for more than 8 years at the same address and city it is a shame and incompetence because for regularization payment with cpf / plate / renavan is enough,Positivo
“eugênio mattar foi o campeão da verba pública em 2020” diz acusando o irmão do exsecretário de desestatização mas q verba pública é dinheiro dele cobrado injustamente pela receita federal,"São Paulo, Brasil",663256,Negativo,0,"“Eugenio Mattar was the champion of public funds in 2020” he says, accusing the brother of the ex-secretary of privatization but q public funds is his money unjustly charged by the Federal Revenue",Neutro
viver com cristo eh uau entao me ajuda a baixar o app da receita federal brother eu nao justifiquei o voto e ja passou do trmpo limite to fudido vai sujar meu nome me ajuda pelo amor de deis,@wast3lands💕,2137,Negativo,0,living with christ eh wow then help me download the app from the IRS brother i didn&#39;t justify the vote and already passed the limit limit so fucked up will get my name dirty help me for the love of deis,Negativo
tá dando mas não o quanto eu gostaria rsrs a moral é insistir valeu,Triste nos Pampas,4884,Neutro,2,it&#39;s giving but not how much I would like lol the moral is to insist thanks,Positivo
a única vantagem é você declarar ir através do pagamento do mei mas é um valor que não te serve pra nada kk se você ganha desde 1 000 50 000 mensais você tem que pagar o mesmo imposto patético,Triste nos Pampas,4884,Negativo,0,the only advantage is that you declare to go through the payment of mei but it is a value that doesn’t help you kk if you earn from 1 000 50 000 monthly you have to pay the same pathetic tax,Negativo
sim vei ontem calculei o que gastei nos últimos 2 anos só de imposto de mei só pra me torturar porque a gente não pode fazer nada,Triste nos Pampas,4884,Neutro,2,yes I saw yesterday I calculated what I spent in the last 2 years just from mei tax just to torture myself because we can&#39;t do anything,Negativo
tava nessa mas assinei uns contratos que precisavam de cnpj problema é que as vezes voce fica meses pagando sem precisar usar,Triste nos Pampas,4884,Neutro,2,I was in this but I signed some contracts that needed cnpj problem is that sometimes you spend months paying without using,Neutro
por favor doem usando #bitcoin porque senão a vai querer roubar,"Rio de Janeiro, Brasil",14,Negativo,0,please donate using #bitcoin because otherwise you will want to steal,Neutro
por favor doem usando #bitcoin porque senão a vai querer roubar,"Rio de Janeiro, Brasil",19,Negativo,0,please donate using #bitcoin because otherwise you will want to steal,Neutro
desse jeito a receita federal vai bater aqui em casa ja era carol,,354,Neutro,2,that way the Federal Revenue will hit here at home it was already Carol,Neutro
a empresa está parada falador só não quero ter que pagar contador pra uma empresa sem movimentação,Juiz de Fora,108,Neutro,2,"the company is stopped talking, I just don&#39;t want to have to pay an accountant for a company without movement",Neutro
dá uma olhadinha aqui por gentileza,,0,Negativo,0,take a look here please,Neutro
alô então seus auditores não respeitam nem uma lei básica,Brasil,105,Negativo,0,hello so your auditors don&#39;t even respect a basic law,Neutro
adelor é só ver a renda que ele tem e confrontar com os bens receita federal e com as pensões que paga é simples entre no site da câmara federal e veja a transparência das prestações de contas rachadinha não é roubo foi ele que ensinou os filhos,Vinhedo,1250,Neutro,2,adelor just look at the income he has and compare it with the federal revenue assets and the pensions you pay is simple go to the federal chamber website and see the transparency of the accountability cracked is not theft he taught his children,Neutro
assim vc consegue lavar milhões bem mais rápido sem levantar suspeitas da receita federal,"Ingá, Niterói",23,Negativo,0,so you can wash millions a lot faster without raising suspicions from the IRS,Neutro
esperei 40 anos e ñ tive a profissão d analista de sistema regulamentada vieram novas especializações d ti algumas já morreram me aposentei e nada mas pra cobrar ir a receita federal sabe q nós existimos o código é 126 é mta ironia bizarrice e sacanagem juntas,Sorocaba,195,Negativo,0,"I waited 40 years and I didn’t have the profession of a regulated system analyst. New specializations came from you. Some of them have already died. I retired and nothing, but to collect, go to the IRS. You know that we exist. The code is 126.",Positivo
igual aqui em curitiba abriram tudo mas pediram para não ir é igual o imposto de renda a multa é uma sugestão de pagamento não precisa pagar pq as pessoas tem consciência né,"Curitiba, Brasil",22,Neutro,2,just like here in curitiba they opened everything but asked not to go it is the same as the income tax the fine is a suggestion of payment you don&#39;t need to pay because people are aware right,Positivo
não acho q tenha sido exatamente isso não amg o pessoal nem tinha certeza na época se iam conseguir ver eles e acabou q não deu mesmo já q a receita federal mandou os meninos pra outra saída,only ami ,7970,Neutro,2,"I don&#39;t think it was exactly that, neither the staff nor I was sure at the time if they were going to be able to see them and it ended up.",Positivo
agora a pergunta que não quer calar onde estava a que não viu isso e demais órgãos responsáveis pelas fiscalizações,,1345,Negativo,0,now the question that doesn’t want to remain silent where it was the one that didn’t see it and other bodies responsible for inspections,Positivo
quem cobra é a,,29,Neutro,2,who charges is the,Neutro
quem cobra é a,,28,Neutro,2,who charges is the,Neutro
ela claramente é de mentira qualquer dia eu vou colocar o cpf dela na receita federal e descobri que é um velho gay careca e pançudo que quer me aliciar p levar p turquia,"Rio de Janeiro, Brasil",414,Negativo,0,she is clearly a lie any day i will put her cpf in the federal revenue and i found out that he is a bald and paunchy old gay man who wants to entice me p take p turkey,Positivo
